"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x200273 CID: 00010001280eccaf74d83e337070 "
"2","1.008329","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x200273 CID: 00010001280eccaf74d83e337070 "
"3","5.024674","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x200273 CID: 00010001280eccaf74d83e337070 "
"4","21.107487","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x05157f CID: 00010001280eccaf74d83e337070 "
"5","22.105882","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x05157f CID: 00010001280eccaf74d83e337070 "
"6","26.127437","fe80::a47a:1571:8431:9438","ff02::1:2","DHCPv6","157","Solicit XID: 0x05157f CID: 00010001280eccaf74d83e337070 "
"7","27.387909","VMware_5b:d9:fb","Broadcast","ARP","42","Who has 192.168.33.251? Tell 192.168.33.100"
"8","27.391239","06:75:f1:6d:6a:cd","VMware_5b:d9:fb","ARP","60","192.168.33.251 is at 06:75:f1:6d:6a:cd"
"9","27.391258","192.168.33.100","192.168.33.251","DNS","88","Standard query 0x9e40 A contile.services.mozilla.com"
"10","27.402271","192.168.33.100","192.168.33.251","DNS","88","Standard query 0x9545 AAAA contile.services.mozilla.com"
"11","27.461933","192.168.33.251","192.168.33.100","DNS","104","Standard query response 0x9e40 A contile.services.mozilla.com A 34.117.237.239"
"12","27.468646","192.168.33.251","192.168.33.100","DNS","169","Standard query response 0x9545 AAAA contile.services.mozilla.com SOA ns-679.awsdns-20.net"
"13","27.470781","192.168.33.100","34.117.237.239","TCP","74","37488  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1366050052 TSecr=0 WS=128"
"14","27.529244","34.117.237.239","192.168.33.100","TCP","74","443  >  37488 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1318 SACK_PERM TSval=595579921 TSecr=1366050052 WS=256"
"15","27.529304","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1366050111 TSecr=595579921"
"16","27.547379","192.168.33.100","34.117.237.239","TLSv1.3","583","Client Hello (SNI=contile.services.mozilla.com)"
"17","27.610359","34.117.237.239","192.168.33.100","TCP","66","443  >  37488 [ACK] Seq=1 Ack=518 Win=66816 Len=0 TSval=595580011 TSecr=1366050129"
"18","27.622036","34.117.237.239","192.168.33.100","TLSv1.3","1372","Server Hello, Change Cipher Spec"
"19","27.622069","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=518 Ack=1307 Win=64128 Len=0 TSval=1366050204 TSecr=595580013"
"20","27.622488","34.117.237.239","192.168.33.100","TCP","1372","443  >  37488 [PSH, ACK] Seq=1307 Ack=518 Win=66816 Len=1306 TSval=595580013 TSecr=1366050129 [TCP segment of a reassembled PDU]"
"21","27.622501","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=518 Ack=2613 Win=63488 Len=0 TSval=1366050204 TSecr=595580013"
"22","27.629175","34.117.237.239","192.168.33.100","TLSv1.3","1969","Application Data"
"23","27.629309","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=518 Ack=4516 Win=63488 Len=0 TSval=1366050211 TSecr=595580013"
"24","28.240430","192.168.33.100","192.168.33.251","DNS","74","Standard query 0x2fdd A r3.o.lencr.org"
"25","28.240665","192.168.33.100","192.168.33.251","DNS","74","Standard query 0xfdd2 AAAA r3.o.lencr.org"
"26","28.349201","192.168.33.251","192.168.33.100","DNS","197","Standard query response 0xfdd2 AAAA r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net AAAA 2600:140f:3c00::b81c:ad10 AAAA 2600:140f:3c00::b81c:ad0a"
"27","28.354822","192.168.33.251","192.168.33.100","DNS","173","Standard query response 0x2fdd A r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net A 23.212.50.234 A 23.212.50.219"
"28","28.356610","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:140f:3c00::b81c:ad10","TCP","94","38748  >  80 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM TSval=132883556 TSecr=0 WS=128"
"29","28.393553","fe80::475:f1ff:fe6d:6acd","ff02::1:ff94:b9f7","ICMPv6","86","Neighbor Solicitation for 2401:4900:4ffc:acba:323:b89d:2394:b9f7 from 06:75:f1:6d:6a:cd"
"30","28.393641","2401:4900:4ffc:acba:323:b89d:2394:b9f7","fe80::475:f1ff:fe6d:6acd","ICMPv6","86","Neighbor Advertisement 2401:4900:4ffc:acba:323:b89d:2394:b9f7 (sol, ovr) is at 00:0c:29:5b:d9:fb"
